filename,title,author,year_finished,genre
5387.txt,Горе | «Тщетно отчаянный ветер…»,Маяковский,1920,poetry
5388.txt,Маяковский в небе | «Стоп! // Скидываю на тучу / вещей / и тела усталого / кладь…»,Маяковский,1917,poetry
5389.txt,9-е ЯНВАРЯ,Маяковский,1924,poetry
5390.txt,ДАЕШЬ МОТОР!,Маяковский,1925,poetry
5391.txt,"Домой! | «Уходите, мысли, во-свояси…»",Маяковский,1925,poetry
5392.txt,Марш ударных бригад | «Вперед / тракторами по целине!..»,Маяковский,1930,poetry
5393.txt,Начало | «Сначала / разведчики / размахнулись полукругом…»,Маяковский,1925,poetry
5394.txt,«И небо...»,Маяковский,1915,poetry
5395.txt,Кое-что про Петербург | «Слезают слезы с крыши в трубы...»,Маяковский,1913,poetry
5396.txt,Чудовищные похороны | «Мрачные до черного вышли люди…»,Маяковский,1915,poetry
5397.txt,«Хорошо вам...»,Маяковский,1916,poetry
5398.txt,«Во весь / медногорлый / гудочный клич...»,Маяковский,1930,poetry
5399.txt,Хвои | «надо. / Не просите. / Не будет елки…»,Маяковский,1916,poetry
5400.txt,Для малограмотных | «Пролеткультцы не говорят...»,Маяковский,1922,poetry
5401.txt,"Лезьте в глаза, влетайте в уши / слова вот этих лозунгов и частушек | «Знай / о счастии своем....»",Маяковский,1927,poetry
5402.txt,Шагание стиха | «Последняя самая эта секунда…»,Маяковский,1923,poetry
5403.txt,Мой университет | «Французский знаете. / Делите. / Множите…»,Маяковский,1922,poetry
5404.txt,"Спросили раз меня: «Вы любите ли НЭП?» — «Люблю, — ответил я, — когда он не нелеп» | «Многие товарищи повесили нос…»",Маяковский,1922,poetry
5405.txt,«За что боролись?» | «Слух идет / бессмысленен и гадок...»,Маяковский,1927,poetry
5406.txt,"Ты | «Пришла — / деловито, / за рыком, / за ростом…»",Маяковский,1922,poetry
5407.txt,"Послушайте! | «Послушайте!  / Ведь, если звезды зажигают — / значит — это кому-нибудь нужно?..»",Маяковский,1914,poetry
5408.txt,Вызов | «Горы злобы / аж ноги гнут…»,Маяковский,1925,poetry
5409.txt,Бродвей | «Асфальт — стекло. / Иду и звеню…»,Маяковский,1925,poetry
5410.txt,Солидарность | «Ярмарка. / Вовсю! / Нелепица на нелепице…»,Маяковский,1923,poetry
5411.txt,«Перед нашею / республикой / стоят богатые...»,Маяковский,1927,poetry
5412.txt,Ленинцы | «Если / блокада / нас не сморила…»,Маяковский,1930,poetry
5413.txt,«Мылом-цифрами / смойте с водки...»,Маяковский,1928,poetry
5414.txt,Война объявлена | «Вечернюю! Вечернюю! Вечернюю!..»,Маяковский,1914,poetry
5415.txt,Рассказ литейщика Ивана Козырева о вселении в новую квартиру | «Я пролетарий. / Объясняться лишне…»,Маяковский,1928,poetry
5416.txt,Издевательства | «Павлиньим хвостом распущу фантазию в пестром цикле…»,Маяковский,1916,poetry
5417.txt,Почему? | «Спортсменов / и мы / раструбить рады…»,Маяковский,1928,poetry
