filename,word_count,unique_words,unique_lemmas,ttr,sentences_count,words_per_sent,avg_punct_rate
5553.txt,507,296,274,0.5404,50,10.14,2.76
5547.txt,55,40,38,0.6909,5,11.0,2.8
5590.txt,163,95,92,0.5644,11,14.82,3.27
5584.txt,158,74,72,0.4557,16,9.88,2.5
5989.txt,205,134,127,0.6195,15,13.67,5.07
5751.txt,140,81,77,0.55,10,14.0,3.3
5745.txt,744,414,362,0.4866,81,9.19,2.52
5779.txt,152,114,107,0.7039,20,7.6,2.6
5792.txt,186,104,96,0.5161,17,10.94,2.06
5786.txt,153,59,57,0.3725,21,7.29,2.57
5976.txt,112,92,88,0.7857,8,14.0,3.38
5962.txt,282,192,188,0.6667,28,10.07,2.57
5625.txt,187,128,121,0.6471,30,6.23,2.93
5631.txt,413,233,215,0.5206,43,9.6,2.84
5619.txt,536,304,284,0.5299,43,12.47,3.53
5802.txt,405,235,210,0.5185,22,18.41,4.55
5816.txt,809,454,410,0.5068,87,9.3,3.02
5427.txt,222,117,106,0.4775,11,20.18,4.45
5433.txt,128,92,82,0.6406,11,11.64,3.36
5396.txt,208,176,163,0.7837,15,13.87,4.47
5397.txt,173,117,115,0.6647,24,7.21,2.0
5432.txt,179,119,116,0.648,23,7.78,2.17
5426.txt,420,265,234,0.5571,37,11.35,4.11
5817.txt,97,70,63,0.6495,23,4.22,2.04
5803.txt,197,141,131,0.665,32,6.16,1.94
5618.txt,87,76,75,0.8621,9,9.67,2.22
5630.txt,154,95,89,0.5779,16,9.62,2.38
5624.txt,144,89,85,0.5903,10,14.4,3.5
5963.txt,109,77,71,0.6514,22,4.95,1.45
5977.txt,213,136,121,0.5681,28,7.61,1.93
5787.txt,226,139,121,0.5354,21,10.76,2.52
5793.txt,266,168,150,0.5639,24,11.08,2.58
5778.txt,610,331,295,0.4836,47,12.98,3.53
5744.txt,264,163,150,0.5682,20,13.2,3.25
5750.txt,526,332,296,0.5627,85,6.19,2.08
5988.txt,130,86,84,0.6462,18,7.22,2.0
5585.txt,378,249,228,0.6032,31,12.19,2.94
5591.txt,631,324,283,0.4485,80,7.89,2.05
5546.txt,504,277,254,0.504,40,12.6,2.9
5552.txt,191,134,125,0.6545,26,7.35,2.88
5544.txt,35,30,30,0.8571,2,17.5,2.0
5550.txt,696,438,376,0.5402,69,10.09,2.96
5578.txt,291,190,175,0.6014,27,10.78,2.93
5587.txt,159,118,114,0.717,34,4.68,2.03
5593.txt,114,71,66,0.5789,15,7.6,2.07
5746.txt,123,83,78,0.6341,13,9.46,2.46
5752.txt,248,147,136,0.5484,18,13.78,4.39
5785.txt,350,207,191,0.5457,38,9.21,2.66
5791.txt,269,167,149,0.5539,36,7.47,2.03
5949.txt,204,137,131,0.6422,18,11.33,3.33
5961.txt,50,45,45,0.9,3,16.67,2.0
5975.txt,128,98,94,0.7344,22,5.82,2.32
5632.txt,81,50,49,0.6049,9,9.0,3.22
5626.txt,37,26,24,0.6486,5,7.4,2.4
5829.txt,433,252,227,0.5242,33,13.12,3.36
5815.txt,145,96,93,0.6414,16,9.06,2.88
5801.txt,143,110,102,0.7133,16,8.94,2.75
5430.txt,87,59,54,0.6207,5,17.4,4.2
5424.txt,153,103,94,0.6144,17,9.0,2.41
5418.txt,395,228,202,0.5114,40,9.88,2.2
5395.txt,36,35,34,0.9444,2,18.0,4.5
5394.txt,340,243,218,0.6412,30,11.33,3.03
5419.txt,124,87,79,0.6371,14,8.86,2.5
5425.txt,101,76,76,0.7525,15,6.73,1.73
5431.txt,309,193,173,0.5599,27,11.44,2.37
5800.txt,343,210,191,0.5569,26,13.19,3.54
5814.txt,47,35,35,0.7447,10,4.7,1.7
5828.txt,87,52,50,0.5747,12,7.25,2.17
5627.txt,170,110,103,0.6059,29,5.86,1.9
5633.txt,569,331,295,0.5185,58,9.81,2.55
5974.txt,245,151,145,0.5918,23,10.65,3.09
5960.txt,100,79,77,0.77,17,5.88,2.41
5948.txt,550,317,296,0.5382,55,10.0,2.51
5790.txt,444,151,141,0.3176,31,14.32,4.52
5784.txt,164,104,96,0.5854,17,9.65,2.12
5753.txt,519,329,307,0.5915,37,14.03,3.38
